Word,Function,Definition,Origin,,,,,,
tosu,Action,fight,Austroasiatic,th,ต่อสู้,lo,ຕໍ່ສູ້ ,,
towmeng,Quality,"clear, transparent",Sinitic,,透明,,,,
towsagi,Objects and Concept,rabbit / hare,Koreo-Japonic,ko,토끼,ja,うさぎ,,
tuk,Quality,cheap,Austroasiatic,th,ถูก,lo,ຖືກ,,
twiluki'ye,Objects and Concept,Turkey (nation in Asia and Europe),Western: Turkish,tr,türkiye,,,,
tya,Objects and Concept,tea,Sinitic,,茶,,,,
uhe,Objects and Concept,cow,Altaic,mn,үхэр,,,,
unci,Objects and Concept,poop,Koreo-Japonic,ja,うんち,,,,
uncikaki,Objects and Concept,ankle biters; bad children,Compound,,,,,,
uncwen,Action,drive (e.g. a car),Sinitic,,運轉,,,,
utala,Quality,north,Sanskrit,,उत्तर ,,(úttara),,
uwe,Quality,"up, above, over",Koreo-Japonic,ko,위/우에,ja,うえ,,
wajaw,Action,smile; laugh,Koreo-Japonic,ko,웃음,jp,わらう,,
wak,Objects and Concept,wok,Sinitic,,鑊,,,,
wan,Action,want,Sinitic,,願,,,,
wankok,Action,bend,Sinitic,,彎曲,,,,
watnam'o,Objects and Concept,vietnamese (language),Sinitic,,越南語,,,,
wi,Particle,for (objective - instrumental),Sinitic,,爲,,,,
widyasata,Objects and Concept,"science, a discipline of study",Sanskrit,,विद्या + शास्त्र ,,(vidyā + śāstra) ,,
wihem,Quality,danger,Sinitic,,危險,,,,
winyan,Objects and Concept,soul,Sanskrit,,विज्ञान ,,(vijñāna),,
wisa,Objects and Concept,poison,Sanskrit,,विष ,,viṣá,,
yacay,Objects and Concept,vegetable ,Sinitic,,野菜,,,,
yaksyok,Action,promise,Sinitic,,約束,,,,
yame,Objects and Concept,mountain,Koreo-Japonic,ko,뫼,ja,やま,,
yang,Particle,"like, as, (nominal adverb marker)",Sinitic,,樣,,,,
yang,Quality,"positive energy (also see ""im"")",Sinitic,,陽,,,,
ya'way,Objects and Concept,"outdoors, outside",Sinitic,,野外,,,,
yenghwa,Objects and Concept,movie,Sinitic,,映畵,,,,
yok (ji) luwang,Objects and Concept,bathroom,Compound,,,,,,
yong,Action,use,Sinitic,,用,,,,
yusyaw,Quality,young,Sinitic,,幼少,,,,
yu,Particle,because (causal - final),Sinitic,,由,,,,
yu,Quality,right (direction),Sinitic,,右,,,,
yuhan,Quality,finite,Sinitic,,有限,,,,
yulopa,Objects and Concept,Europe,Western: Portuguese,pt,europa,jp,(ヨーロッパ),,
